collection_no,collection_name,lng,lat,mid_ma,formation,n_occurrences,n_genera,n_herbivore,n_predator
17962,Main Fork of Cottonwood Creek,-103.099998,42.799999,17.4,Runningwater,1,1,1,0
17963,Marsland Quarry,-103.317703,42.374001,17.4,Runningwater,15,15,5,5
17964,"Merycochoerus Quarry, Martin Canyon",-103.268288,40.901245,17.4,Pawnee Creek,4,2,3,1
17965,Martin Canyon Quarry A,-103.283333,40.900002,17.4,Pawnee Creek,40,32,25,3
17966,Mecca (RV-7713),-121.264999,44.763611,17.4,John Day,4,3,4,0
17967,Mecca (RV-7711),-121.264999,44.763611,17.4,John Day,2,2,2,0
17968,Merychippus Draw,-103.800003,42.400002,17.4,Sheep Creek,3,3,3,0
17969,Mesoceras Quarry,-103.800003,42.400002,17.4,Snake Creek,2,2,1,1
17970,Middle Of The Road Quarry,-103.099998,42.200001,17.4,Box Butte,5,4,4,1
17971,Mill Quarry,-103.800003,42.400002,14.4,Olcott,6,6,3,3
17972,New Surface Quarry,-103.800003,42.400002,14.4,Olcott,16,16,11,5
17973,Nonpareil Sand Pit,-103.099998,42.200001,17.4,Runningwater,1,1,0,1
17974,North Branch of Cottonwood Creek,-103.099998,42.799999,17.4,Runningwater,1,1,0,0
17975,North Wall Quarry,-103.800003,42.400002,14.4,Olcott,4,4,2,2
17976,Observation Quarry,-102.849998,42.683334,14.4,,50,47,28,13
17977,Oreolagus nebrascensis Type Locality,-103.099998,42.799999,17.4,Runningwater,1,1,1,0
17978,Pebble Creek,-103.099998,42.799999,17.4,Runningwater,7,7,4,3
17979,Pepper Creek,-103.099998,42.799999,17.4,,5,5,4,1
17980,Pliohippus Draw (Lower),-103.800003,42.400002,17.4,Sheep Creek,6,6,3,3
17981,Potato Creek,-101.900002,43.5,17.4,"""Lower Rosebud"" Beds",1,1,1,0
17982,Potter Quarry,-103.099998,42.799999,17.4,,3,3,3,0
17983,Princeton Loc. 1000C,-103.800003,42.400002,14.4,Olcott,12,12,7,5
17984,Princeton Locality 1000D,-103.800003,42.400002,17.4,,1,1,1,0
17985,Prosynthetoceras Quarry,-103.800003,42.400002,14.4,Olcott,9,9,7,2
17986,Quarter Mile East of Foley Quarry,-103.099998,42.200001,17.4,Box Butte,1,1,1,0
17987,Ravine Quarry,-103.800003,42.400002,17.4,Sheep Creek,7,6,5,2
17988,Rhino Quarry (F:AM),-103.800003,42.400002,17.4,Sheep Creek,3,3,2,1
17989,Runningwater Quarry,-103.099998,42.200001,17.4,Runningwater,6,6,3,3
17990,Sand Canyon (Dawes Clay),-103.099998,42.799999,17.4,Box Butte,5,3,5,0
17991,Sand Canyon Quarry,-103.099998,42.799999,17.4,Box Butte,8,8,5,2
17992,Sand Quarry,-103.800003,42.400002,14.4,Olcott,1,1,1,0
17993,Schoolhouse Prospect No. 2,-103.099998,42.799999,17.4,Box Butte,1,1,0,1
17994,Seaman Hills,-104.5,43.0,17.4,,1,1,1,0
17995,Sinclair Quarry,-103.800003,42.400002,14.4,Olcott,9,8,9,0
17996,Snake Quarry,-103.800003,42.400002,14.4,Olcott,2,2,2,0
17997,Spiers Quarry,-103.099998,42.799999,17.4,? Runningwater,1,1,0,1
17998,Surprise Quarry,-103.099998,42.799999,17.4,Sand Canyon,2,2,1,1
17999,Survey Quarry,-103.099998,42.799999,17.4,,7,7,6,1
18000,Thistle Quarry,-103.800003,42.400002,17.4,Sheep Creek,11,11,8,3
18001,Thomson Quarry,-103.800003,42.400002,17.4,Sheep Creek,26,26,16,10
18002,Titanothere Section (Hemingfordian),-109.0,49.700001,17.4,,11,7,10,1
18003,Topham,-109.0,49.599998,17.4,Cypress Hills,41,27,35,2
18004,Trojan Quarry,-103.800003,42.400002,14.4,Olcott,14,14,6,7
18005,Two Miles West of Pole Creek Quarry,-100.800003,42.799999,17.4,Runningwater,6,5,4,2
18006,UNSM Cr-101,-100.800003,42.799999,17.4,Runningwater,1,1,0,1
18007,UNSM Cr-126,-100.800003,42.799999,17.4,Runningwater,2,2,2,0
18008,UNSM Cr-127,-100.800003,42.799999,17.4,Runningwater,2,2,1,1
18009,UNSM Cr-128,-100.800003,42.799999,17.4,Runningwater,2,2,1,1
18011,Version Quarry,-103.800003,42.400002,14.4,Olcott,12,12,10,2
18012,Vista Quarry,-103.800003,42.400002,17.4,Sheep Creek,2,2,1,1
18015,Warm Springs (RV-7606),-121.300003,44.900002,17.4,John Day,3,3,3,0
18016,Watson Ranch,-103.800003,42.400002,17.4,Sheep Creek,1,1,0,1
18017,West Jenkins Quarry,-103.800003,42.400002,10.95,Snake Creek,1,1,0,1
18018,West of Conglomerate Creek,-109.199997,49.799999,17.4,Cypress Hills,3,1,3,0
18019,West Sand Quarry,-103.800003,42.400002,14.4,Olcott,12,11,9,3
18020,West Surface Quarry,-103.800003,42.400002,14.4,Olcott,5,5,5,0
18021,Wood's Canyon Quarry,-103.099998,42.799999,17.4,Runningwater,5,4,2,3
18022,Above Bug Prospect,-98.0,42.599998,10.95,Ash Hollow,1,1,0,1
18023,Above Burge B,-100.800003,42.799999,8.6,Ash Hollow,1,1,1,0
18024,Above Burge Quarry,-100.800003,42.799999,10.95,Ash Hollow,1,1,0,1
18025,Above Lost Chance,-100.0,42.700001,14.186499999999999,,1,1,1,0
18026,Above Rattlesnake Gulch Quarry,-100.0,42.700001,14.4,Valentine,1,0,1,0
18027,Achilles Quarry,-100.0,42.700001,14.4,Valentine,35,26,25,4
18028,Alligator mefferdi Quarry,-100.866669,42.700001,10.95,Ash Hollow,1,1,1,0
18029,Amebelodon Quarry No. 2,-100.199997,40.299999,14.186499999999999,,1,1,1,0
18030,8 miles NW of Angora,-103.099998,41.700001,7.54,,1,1,1,0
18031,Annie's Geese Crossing Quarry,-98.110001,42.490002,14.4,Valentine,38,33,24,5
18032,Antelope Creek,-100.800003,42.799999,14.4,,1,1,0,1
18033,Aphelops Draw Quarries,-103.800003,42.400002,7.050000000000001,Snake Creek,20,17,14,6
18034,Arnett,-99.800003,36.099998,7.050000000000001,,20,17,15,5
18035,Robert Arnold Ranch,-99.900002,39.0,10.95,,1,1,1,0
18036,Axtel,-101.900002,35.0,7.050000000000001,,16,13,11,5
18037,Balanced Rock Quarry,-100.800003,42.799999,10.95,Ash Hollow,4,3,4,0
18038,Beads Creek no. 1,-100.699997,43.200001,14.186499999999999,,9,3,7,2
18039,Beads Creek no. 2,-100.699997,43.200001,14.186499999999999,,1,0,1,0
18040,Beads Creek no. 3,-100.699997,43.200001,14.186499999999999,,4,2,4,0
18041,Beads Creek no. 4,-100.699997,43.200001,14.186499999999999,,1,0,1,0
18042,Bear Creek Quarry,-100.800003,42.799999,10.95,Ash Hollow,17,16,12,5
18043,Bear Tooth Slide,-100.0,42.700001,7.050000000000001,Ash Hollow,4,4,3,1
18044,Beaver Creek (Kansas),-99.900002,37.200001,14.186499999999999,,1,0,1,0
18045,Beaver Quarry,-100.5,36.799999,10.95,,13,6,11,2
18046,Beckerdite,-99.900002,37.200001,7.050000000000001,,11,8,8,3
18047,Beeman Creek,-99.699997,42.799999,10.95,Ash Hollow,2,2,2,0
18048,Below Bear Creek,-100.800003,42.799999,10.95,Ash Hollow,1,1,0,1
18049,Below Boiling Spring Bridge,-100.800003,42.799999,12.850000000000001,,4,3,4,0
18050,Below Crookston Bridge,-100.800003,42.799999,14.186499999999999,,1,1,1,0
18051,Below Devil's Gulch Quarry,-100.0,42.700001,14.4,Valentine,1,1,0,1
18052,Below Hurlbut Quarry,-100.0,42.700001,14.4,Valentine,1,1,1,0
18053,Below Gallup Gulch Quarry,-100.800003,42.799999,10.95,Ash Hollow,2,1,0,2
18054,Below Merritt Reservoir,-100.800003,42.799999,10.95,Ash Hollow,1,1,1,0
18055,Bemis Quarry,-99.400002,38.900002,7.050000000000001,,9,7,6,2
18056,Between Crane and Garner Bridges (Burge),-100.800003,42.799999,10.95,Valentine,1,1,0,1
18057,Between Crane and Garner Bridges (Cap Rock),-100.800003,42.799999,10.95,Ash Hollow,2,2,1,1
18058,Between Crane and Garner Bridges (Devil's Gulch),-100.800003,42.799999,14.4,Valentine,1,1,0,1
18059,Between Crane and Garner Bridges (Merritt Dam),-100.800003,42.799999,10.95,Ash Hollow,1,1,0,1
18060,Big Beaver A,-100.800003,42.799999,10.95,Ash Hollow,14,11,9,4
18061,Big Beaver C,-100.800003,42.799999,10.95,Ash Hollow,5,3,5,0
18062,Big Beaver (UCMP V-3336),-100.800003,42.799999,14.4,Valentine,1,1,1,0
18063,Big Spring Canyon,-101.800003,43.200001,10.95,,29,25,20,8
18064,Big Spring Canyon (Site 11),-101.800003,43.200001,14.186499999999999,,8,4,8,0
18065,Big Toad Beach,-101.800003,41.200001,8.6,Ash Hollow,6,6,6,0
18066,Bluejay Quarry,-98.097397,42.386299,10.95,Ash Hollow,37,30,29,3
18067,Boat Landing,-100.800003,42.799999,14.4,Valentine,4,0,4,0
18068,Boiling Springs (Devil's Gulch Member),-100.800003,42.799999,14.4,Valentine,1,1,0,1
18069,Bolling Quarry,-100.800003,42.799999,8.6,Ash Hollow,4,4,2,2
18070,Bone Creek,-100.0,42.700001,12.850000000000001,Valentine,3,2,2,1
18071,Bow Creek,-99.099998,39.700001,10.95,Republican River,1,1,0,1
18072,Box T,-100.099998,36.099998,7.050000000000001,,31,26,20,11
18073,Bridwell Formation,-101.5,33.700001,7.050000000000001,,17,13,15,2
18074,Bromley Ranch,-100.800003,35.0,10.95,,4,3,2,2
18075,Bug Prospect,-98.0,42.599998,10.95,Valentine,1,1,0,1
18076,Buis Ranch,-100.26889,36.92889,7.050000000000001,,15,11,12,2
18077,Burge Quarry,-100.800003,42.799999,12.850000000000001,Valentine,33,27,25,8
18078,Burge B Quarry,-100.800003,42.799999,10.95,Valentine,6,5,6,0
18079,Burge Talus,-100.800003,42.799999,10.95,Valentine,1,1,0,1
18080,Bushy Pine Butte,-101.800003,43.200001,14.186499999999999,,6,1,5,1
18081,Bushy Pine Butte Channel,-101.800003,43.200001,14.186499999999999,,6,1,6,0
18082,Buzzard Feather Quarry,-99.699997,42.799999,10.95,Valentine,22,16,19,1
18083,By-the-Way,-100.699997,43.200001,14.186499999999999,Rosebud,1,1,0,1
18084,Calvary Chapel no. 1,-99.800003,43.200001,14.186499999999999,,3,1,3,0
18085,Calvary Chapel no. 2,-99.800003,43.200001,14.186499999999999,,2,2,2,0
18086,Cambridge,-100.5,40.5,7.050000000000001,Ash Hollow,40,37,29,8
18087,Canyon of Little White River,-100.699997,43.200001,8.6,Ash Hollow,7,6,4,3
18088,Capps/George Neu/Pratt Pitts,-99.800003,36.099998,7.050000000000001,,8,5,8,0
18089,Carnivore Quarry,-103.800003,41.5,14.4,,4,3,3,1
18090,Carrot Top Quarry,-100.0,42.700001,14.4,Valentine,32,26,24,3
18091,Channing (Clarendonian),-102.300003,35.700001,10.95,Ogallala,2,2,0,2
18092,Chokecherry Quarry,-98.0,42.599998,10.95,Ash Hollow,16,14,13,3
18093,Christian Ranch,-101.300003,35.0,7.050000000000001,,13,9,9,4
18094,Citellus dotti Site,-100.5,36.799999,14.186499999999999,Ogallala,4,2,3,1
18095,Clayton Quarry,-100.0,42.700001,10.95,Ash Hollow,24,22,16,8
18096,Coetas Creek,-101.900002,35.400002,10.95,Coetas,12,6,10,2
18097,Coffee Ranch,-100.199997,35.900002,7.050000000000001,,45,40,32,10
18098,Cole Highway Pit,-100.099998,36.099998,10.95,,8,4,7,1
18099,Connection Kat Quarry,-100.800003,42.799999,10.95,Ash Hollow,4,4,4,0
18100,Coon Creek,-100.800003,42.799999,8.4815,,1,0,1,0
18101,Cornell Dam Member Type Section,-100.800003,42.799999,14.4,Valentine,1,1,1,0
18102,Corner's Gap,-103.800003,41.5,14.4,,11,9,7,1
18103,Couch Formation (Lower Member),-101.099998,33.700001,14.186499999999999,,6,5,6,0
18104,Couch Formation (Upper Member),-101.5,33.700001,10.95,,10,8,10,0
18105,Cragin,-100.5,36.799999,14.186499999999999,,5,3,5,0
18106,Crazy Locality,-100.800003,42.799999,10.95,Valentine,13,9,11,2
18107,Creighton Quarry,-98.0,42.599998,10.95,,1,1,1,0
18108,Crooked Creek,-100.800003,42.799999,10.95,Ash Hollow,11,8,11,0
18109,Crookston Bridge Quarry,-100.800003,42.799999,14.4,Valentine,15,13,11,4
18110,Currie Ranch,-101.900002,35.0,7.050000000000001,,6,6,5,1
18111,V. John Dakin Quarry,-99.900002,37.200001,7.050000000000001,,4,4,1,3
18112,Davis Ranch,-100.800003,42.799999,12.850000000000001,Valentine,1,1,0,1
18113,Dawson no. 1,-100.699997,43.200001,14.186499999999999,,8,5,7,1
18114,Dawson no. 2,-100.699997,43.200001,14.186499999999999,,2,1,2,0
18115,Dawson no. 3,-100.699997,43.200001,14.186499999999999,,1,1,1,0
18116,Dawson Pit,-99.800003,36.099998,7.050000000000001,,1,1,1,0
18117,Deadman,-101.800003,43.200001,14.4,,12,9,12,0
18118,Deep Creek (Cap Rock),-100.0,42.700001,10.95,Ash Hollow,5,5,3,2
18119,Deep Creek Quarry No. 1,-100.0,42.700001,14.4,Valentine,5,5,4,1
18120,Deep Creek Quarry (UNSM),-100.0,42.700001,14.4,Valentine,2,2,1,1
18121,Deer Fly,-100.800003,42.799999,14.4,,17,12,13,2
18122,Densmore,-99.699997,39.599998,14.186499999999999,,3,2,3,0
18123,Devil's Gulch Quarry,-100.0,42.700001,14.4,Valentine,31,26,21,10
18124,Devil's Gulch Horse Quarry,-100.0,42.700001,14.4,Valentine,31,28,25,6
18125,Devil's Jump Off,-100.800003,42.799999,14.4,Valentine,5,5,3,2
18126,Devil's Nest Airstrip,-97.728897,42.8214,7.050000000000001,,45,40,31,11
18127,Tom D'Spain Ranch,-100.800003,35.0,10.95,,1,1,1,0
18128,Duer Ranch (Ash Hollow),-103.099998,41.700001,8.6,Ash Hollow,3,3,3,0
18129,Duer Ranch Beds,-103.099998,41.700001,10.95,,4,3,4,0
18130,Durham,-99.900002,35.799999,10.95,,12,8,9,3
18131,Dutch Creek (Crookston Bridge),-100.0,42.700001,14.4,Valentine,1,1,0,1
18132,Dutch Creek (Devil's Gulch),-100.0,42.700001,14.4,Valentine,1,1,0,1
18133,Dutch Creek Quarry No. 1,-100.0,42.700001,14.4,Valentine,1,1,1,0
18134,East Clayton Quarry,-100.0,42.700001,8.6,Ash Hollow,18,17,11,7
18135,East Kat Quarry,-100.800003,42.799999,10.95,Ash Hollow,17,16,14,3
18136,East of Garner Bridge,-100.800003,42.799999,14.4,,2,2,2,0
18137,East of Tunnel Rock,-99.699997,42.799999,14.186499999999999,,1,1,1,0
18138,East of White Clay (Lower),-102.5,43.299999,14.4,Ash Hollow,1,1,0,1
18140,Edson,-101.699997,39.299999,7.050000000000001,,30,25,19,10
18141,Egelhoff Quarry,-100.050499,42.806099,14.4,Valentine,39,35,27,5
18142,Eggers Quarry,-100.0,42.700001,10.95,Ash Hollow,3,3,2,1
18143,Eli Ash Pit,-100.800003,42.799999,10.95,Ash Hollow,2,1,1,1
18144,Elliott Quarry,-100.0,42.700001,14.4,Valentine,9,8,7,2
18145,Emry Quarry,-100.0,42.700001,10.95,Ash Hollow,3,3,3,0
18146,Escarpment Quarry,-105.099998,41.299999,8.6,Ash Hollow,4,4,4,0
18147,Eubelodon morrilli Quarry,-100.0,42.700001,10.95,Valentine,2,2,2,0
18148,Ewert Quarry,-100.800003,42.799999,10.95,Valentine,3,3,2,1
18149,Exell,-101.800003,36.0,10.95,,9,7,8,1
18150,Extension Quarry,-102.5,42.700001,12.850000000000001,Valentine,1,1,0,1
18151,Fairfield Creek No. 3,-100.0,42.700001,10.95,Ash Hollow,1,1,0,1
18152,Fairfield Creek (East Fork),-100.0,42.700001,10.95,Valentine,2,2,1,1
18153,Fairfield Creek (North Fork),-100.0,42.700001,14.4,Valentine,3,3,2,1
18154,Fairfield Creek Quarry No. 2,-100.0,42.700001,14.4,Valentine,2,0,2,0
18155,Fairfield Falls Quarry,-100.0,42.700001,14.4,Valentine,7,7,5,2
18156,Fat Chance Quarry,-100.800003,42.799999,10.95,Valentine,6,5,6,0
18157,Fatigue Locality,-100.800003,42.799999,10.95,Valentine,6,5,5,1
18158,Feltz Ranch,-101.716667,41.133331,7.050000000000001,,15,9,12,3
18159,Fence Line,-100.800003,42.799999,10.95,Valentine,11,8,9,2
18160,Feyereisen Gap (Lower),-99.300003,43.299999,14.4,,16,6,10,3
18161,Feyereisen Gap (Upper),-99.300003,43.299999,14.4,,1,1,1,0
18162,First Canyon of Snake River,-100.800003,42.799999,14.4,Valentine,1,1,0,1
18163,Fischer Quarry,-100.800003,42.799999,14.4,Valentine,2,1,2,0
18164,Forked Hills of Hayden,-98.800003,42.900002,14.4,,45,39,31,9
18165,Fort Niobrara,-100.800003,42.799999,14.4,Valentine,28,18,20,5
18166,Found Quarry,-101.699997,38.900002,7.050000000000001,,11,9,7,4
18167,Four Gate Quarry,-98.0,42.599998,14.4,Valentine,1,1,0,1
18168,M. F. Frake's Ranch,-100.800003,39.700001,7.050000000000001,,1,1,1,0
18169,Fritzler Place,-99.800003,36.099998,7.050000000000001,Ogallala,1,1,0,1
18170,Fullerton Gravel Pit,-101.800003,37.200001,7.050000000000001,,4,4,3,1
18171,Gallup Gulch Quarry,-100.800003,42.799999,10.95,Ash Hollow,13,11,9,4
18172,Garner Bridge,-100.800003,42.799999,14.4,Valentine,1,1,0,1
181725,"Nevaxel 11, UCMP V70147",-117.900002,39.200001,14.4,Monarch Mill,5,5,1,4
181729,"Eastgate Chalicothere Quarry, UCMP V74103",-117.900002,39.200001,14.4,Monarch Mill,1,1,0,1
18173,Garner Bridge South,-100.800003,42.799999,14.4,Valentine,2,2,1,1
181731,"Nevaxel III Rhino Level, Discovery Point, UCMP V70138",-117.900002,39.200001,14.4,Monarch Mill,18,13,13,2
181732,Nevaxel V JHH Main Pocket- E Hill,-117.900002,39.200001,14.4,Monarch Mill,2,1,0,2
18174,Garner Quarry,-100.800003,42.799999,8.6,Ash Hollow,1,1,0,1
18175,Goodnight's,-101.300003,35.0,7.050000000000001,Goodnight Beds,10,8,8,2
18176,Gordon Creek Quarry,-100.800003,42.799999,10.95,Valentine,20,17,16,3
18177,Gordon Creek North Quarry,-100.800003,42.799999,10.95,Valentine,2,2,2,0
18178,Grace Ranch,-102.400002,41.400002,10.95,,1,1,1,0
18179,Grant Lease,-100.800003,35.0,10.95,,9,7,8,1
18180,Grasz Cat,-101.800003,41.200001,8.6,Ash Hollow,7,7,5,2
18181,Greenwood Canyon Quarry,-103.099998,41.700001,8.6,Ash Hollow,7,7,5,2
18182,Gregory no. 1,-99.300003,43.299999,14.186499999999999,,3,2,3,0
18183,Gregory no. 2,-99.300003,43.299999,14.186499999999999,,4,3,4,0
18184,Gregory no. 3,-99.300003,43.299999,14.186499999999999,,1,1,1,0
18185,Gregory no. 4,-99.300003,43.299999,14.186499999999999,,4,2,3,1
18186,Gretna,-99.400002,39.799999,10.95,,19,13,15,2
18187,Hamburg Research Area,-99.547699,38.965801,12.850000000000001,,16,9,13,3
18188,Hardin Bridge,-102.5,42.700001,14.4,,1,1,0,1
18189,Harrisburg Locality A,-103.800003,41.5,14.186499999999999,,1,1,1,0
18190,Harrisburg Locality A1,-103.800003,41.5,10.95,Ash Hollow,1,1,0,1
18191,Hay Stack Butte,-100.699997,43.200001,14.186499999999999,,1,1,1,0
18192,Hazard Homestead Quarry,-101.099998,40.200001,14.4,,32,29,25,6
18193,Head of Blue Creek,-102.400002,41.400002,7.050000000000001,,1,1,0,1
18194,Head of Coon Creek,-100.800003,42.799999,10.95,Ash Hollow,4,3,4,0
18196,Head of Pole Creek,-100.800003,42.799999,10.95,Ash Hollow,1,1,0,1
18197,Hesperopithecus Site,-103.800003,42.400002,10.95,Snake Creek,4,2,2,2
18198,Higgins Quarries,-100.099998,36.099998,7.050000000000001,,30,22,22,7
18199,High in the Saddle,-99.699997,42.799999,14.4,Valentine,7,7,6,1
18200,Hollow Horn Bear Quarry,-100.699997,43.200001,10.95,Ash Hollow,23,21,15,8
18201,Honey Creek,-98.800003,42.700001,7.050000000000001,,22,18,19,2
18202,Horn Quarry,-100.800003,42.799999,10.95,Ash Hollow,2,2,1,1
18203,Horse and Mastodon Quarry,-104.199997,40.799999,14.4,Pawnee Creek,18,16,13,5
18204,Horse Thief Canyon No. 1/2,-100.0,42.700001,10.95,Ash Hollow,7,7,6,1
18205,Horse Thief Canyon No. 3,-100.0,42.700001,14.4,Valentine,2,1,1,1
18206,Hottell Ranch Horse Quarry,-103.800003,41.5,14.4,,25,21,22,2
18207,"Hulbert Canyon, Plum Creek drainage",-100.0,42.700001,10.95,Ash Hollow,1,1,1,0
18208,Immense Journey Quarry,-103.800003,41.5,14.4,,52,35,38,4
18209,Joseph Jamber Quarry,-98.800003,42.900002,14.4,,33,28,26,5
18210,Jamison's,-100.800003,42.799999,14.186499999999999,,1,1,1,0
18211,Janes Quarry,-101.099998,33.700001,7.050000000000001,Bridwell,8,7,7,1
18212,Jefferson Ranch,-100.0,42.700001,10.95,Valentine,2,2,1,0
18213,Jerry Quarry,-100.0,42.700001,14.186499999999999,,5,5,4,1
18214,Hans Johnson Quarry,-100.800003,42.799999,10.95,Ash Hollow,17,14,12,5
18215,Johnson Rhino Site,-100.800003,42.799999,10.95,Ash Hollow,1,0,1,0
18216,Jones Canyon,-100.0,42.700001,14.4,Valentine,11,5,10,1
18217,June Quarry,-100.0,42.700001,10.95,Valentine,24,22,17,7
18218,Kat Quarry,-100.800003,42.799999,10.95,Ash Hollow,19,19,13,6
18219,Keller,-99.400002,38.900002,10.95,,14,8,11,3
18220,Kennesaw,-103.099998,40.799999,14.4,Pawnee Creek Beds,16,12,9,5
18221,Kepler Quarry No. 1,-103.099998,41.700001,10.95,Ash Hollow,17,14,15,2
18222,Kilpatrick Quarry,-103.800003,42.400002,10.95,Snake Creek,16,13,11,5
18223,Kuhre Quarry,-100.070198,42.791599,14.4,Valentine,5,0,4,1
18224,Leander Creek,-100.800003,42.799999,14.186499999999999,,1,1,1,0
18225,Lemoyne Quarry,-101.892197,41.300598,7.050000000000001,Ash Hollow,38,30,25,4
18226,Leptarctus B,-100.800003,42.799999,10.95,Ash Hollow,7,5,6,1
18227,Leptarctus Quarry,-100.800003,42.799999,10.95,Ash Hollow,22,19,14,8
18228,Jim Lessig Camel Site,-100.0,42.700001,10.95,Ash Hollow,2,0,2,0
18229,Lessig Canyon,-100.0,42.700001,10.95,Ash Hollow,2,2,1,1
18230,Lighthill Locality,-100.800003,42.799999,10.95,Valentine,5,4,2,3
18231,Line Kat Quarry,-100.800003,42.799999,10.95,Ash Hollow,4,4,4,0
18232,Little Beaver A,-100.800003,42.799999,14.4,Valentine,5,3,4,1
18233,Little Beaver B,-100.800003,42.799999,10.95,Ash Hollow,25,18,18,7
18234,Little Beaver C,-100.800003,42.799999,10.95,Ash Hollow,3,3,3,0
18235,Logan Quarry,-99.699997,42.799999,12.850000000000001,Valentine,14,9,11,3
18236,Lonergan Creek,-101.800003,41.200001,8.6,Ash Hollow,12,12,10,2
18237,Long Island Quarry,-99.400002,39.799999,7.050000000000001,Ogallala,10,10,9,1
18238,Long Pine Creek,-100.0,42.700001,12.850000000000001,Valentine,1,1,1,0
18239,Lost Chance,-100.0,42.700001,14.186499999999999,,4,1,4,0
18240,Lost Duckling,-100.0,42.700001,14.4,,16,14,14,0
18241,Lost Quarry,-101.699997,38.900002,7.050000000000001,,11,10,7,4
18242,Lucht Quarry,-100.0,42.700001,10.95,Valentine,16,15,10,6
18243,Lull Locality,-100.800003,42.799999,10.95,Valentine,8,7,7,1
18244,MacAdams Quarry,-100.800003,35.0,10.95,,26,22,20,6
18245,Machaerodus Quarry,-100.800003,42.799999,10.95,Ash Hollow,15,13,12,3
18246,Madison Bridge,-100.800003,42.799999,10.95,Ash Hollow,1,1,0,1
18247,Mailbox,-98.126602,42.393501,7.050000000000001,,31,27,25,2
18248,Main Quarry,-103.800003,41.5,14.4,,15,10,13,2
18249,Many Springs,-101.800003,43.200001,10.95,,3,1,3,0
18250,Mastodon Quarry,-103.800003,41.5,14.4,,5,5,4,1
18251,McGinley's Stadium,-100.0,42.700001,10.95,Ash Hollow,8,8,7,1
18252,McMurty Ranch,-100.800003,35.0,10.95,,1,1,1,0
18253,Medicine Creek (Cherry County),-100.800003,42.799999,10.95,Ash Hollow,1,1,0,1
18254,Medicine Creek (Frontier County),-100.5,40.5,7.050000000000001,,1,1,0,1
18255,Megabelodon Quarry,-100.800003,42.799999,10.95,Valentine,1,1,1,0
18256,Mensinger Quarry,-100.800003,42.799999,8.6,Ash Hollow,5,5,3,2
182562,Ione Valley 15,-117.699997,38.5,10.95,,7,6,5,2
18257,Merritt Dam Type Section,-100.800003,42.799999,10.95,Ash Hollow,5,4,5,0
18258,Merychippus Draw,-103.800003,42.400002,7.050000000000001,Snake Creek,4,4,3,1
18259,Messenger's Microsite,-99.699997,42.799999,14.186499999999999,,2,2,1,0
18260,Midway Quarry,-100.800003,42.799999,10.95,Valentine,19,19,14,5
18261,Miller Creek,-98.0,42.599998,14.4,,34,30,27,3
18262,Mill Iron Ranch,-100.800003,34.799999,10.95,,1,1,0,1
18263,Minium Quarry,-99.900002,39.299999,7.050000000000001,,22,17,15,6
18264,Minnechaduza Creek,-100.800003,42.799999,14.186499999999999,,1,1,1,0
18265,Mizner Slide (Crookston Bridge),-100.800003,42.799999,14.4,Valentine,1,1,0,1
18266,Mizner Slide (Devil's Gulch),-100.800003,42.799999,14.4,Valentine,5,4,2,3
18267,Mizner Slide (Burge Member),-100.800003,42.799999,10.95,Valentine,1,1,0,1
18268,Mission,-100.599998,43.400002,10.95,Ash Hollow,33,29,27,5
18269,Mitchell Creek,-100.5,40.5,8.6,Ash Hollow,1,0,0,1
18270,Moore Creek,-100.0,42.700001,12.850000000000001,Valentine,6,6,4,2
18271,Mouth of Minnechaduza Creek,-100.800003,42.799999,14.4,,4,4,0,4
18272,Mouth of Snake River,-100.800003,42.799999,14.4,Valentine,1,1,0,1
18273,Murphy Member Slump Blocks,-103.800003,42.400002,10.95,Snake Creek,4,4,4,0
18274,Murphy's Gulch,-100.800003,42.799999,14.186499999999999,,2,1,2,0
18275,Myers Farm,-98.5271,40.0238,14.4,Valentine,59,50,37,12
18276,Naponee,-99.099998,40.099998,14.186499999999999,,2,2,1,1
18277,Narrows of Snake River,-100.800003,42.799999,10.95,Ash Hollow,1,1,0,1
18278,Near Harrisburg,-103.800003,41.5,10.95,Ash Hollow,1,1,0,1
18279,Near June Quarry,-100.0,42.700001,10.95,Ash Hollow,1,1,0,1
18280,Near Paleo Quarry,-102.5,42.700001,12.850000000000001,Valentine,1,1,1,0
18281,Nenzel Quarry,-100.800003,42.799999,14.4,Valentine,13,13,11,2
18282,Niobrara River (Sheridan County),-102.5,42.700001,12.850000000000001,,2,2,1,1
18283,Noble Ranch,-100.800003,35.0,10.95,,7,5,3,4
18284,Norden Bridge Quarry,-100.033333,42.783333,14.4,Valentine,83,70,59,15
18285,Northeast of Burton,-99.699997,42.799999,14.4,Valentine,1,1,0,1
18286,Northeast of Garner Bridge,-100.800003,42.799999,14.4,Valentine,1,1,0,1
18287,Northeast of Rock Rapids,-99.699997,42.799999,14.4,Valentine,1,1,1,0
18288,Northeast of Springview,-99.699997,42.799999,10.95,Ash Hollow,2,2,1,1
18289,North of Broadwater (Ash Hollow),-103.099998,41.700001,14.186499999999999,,1,1,1,0
18290,North of Burge Quarry,-100.800003,42.799999,12.850000000000001,,1,1,1,0
18291,North of Crane Bridge,-100.800003,42.799999,10.95,Ash Hollow,1,1,0,1
18292,North of Thatcher,-100.800003,42.799999,14.4,Valentine,1,1,1,0
