oid,sfm,lng,lat,nam,aka,noc,oei,eag,lag,aut,pby,rid,cc2,stp,prc,gsc,ggc,pm1,gpl,ps1,pln,pla,ssc,scm,ldc,lt1,la1,ff1,env,gcm,cps,tpm,tpq,pcm,cct,ccx,ccv,ccc,ccd,rgp,altv,altu,cpb,tpf,ccu,cpa,tps,tpt,lt2,cpt,tpc,tpo,tpb,tpe,lm1,ff2,lm2,smb,lf1,ccm,la2,cpc,acm,tcm,ccs,tpl,tpr,ccr,sls,slb,slu,slo,cpd,tpa,cny
col:73437,Nemegt,100.477776,43.572224,Altan Ula II [SMPE] (PIN coll. 553),Soviet-Mongolian Paleontological Expedition,4,Maastrichtian,72.2,66,Maleev,1955,ref:34612,MN,Omnogov,__,small collection,"Altan Ula II, W of Nemegt, Omnogov (southern Mongolia)",gplates,628,mid,93.8,36.47,bed,,,not reported,,,terrestrial indet.,,macrofossils,body,good,,taxonomic,"mechanical,peel or thin section,survey of museum collection",,SMPE,1948–1949,vertebrate,,,,,PIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:76192,Nemegt,104.916779,47.733334,Ulan Khushu microsite,Ulan Hushu,5,Maastrichtian,72.2,66,Winkler et al.,2007,ref:25829,MN,Tuva,__,small collection,Ulan Khushu,gplates,401,mid,96.09,41.34,bed,,"""a tabular fine to medium grained muddy sand...The bone-bed is densely calcite-cemented and contains abundant small calcareous nodules and granule-sized rip-up clasts...Mudstones underlie the bone-bed and trough-cross bedded sands occur above.""",sandstone,"fine,medium,concretionary,intraclastic",Y,terrestrial indet.,,mesofossils,body,variable,"attritional, with some transport before burial, with some bones showing minimal transport and little sorting",general faunal/floral,"surface (float),field collection",,,,vertebrate,,,,,,,,,sandstone,,concentrated,,,,"argillaceous,calcareous",,,,,,current ripples,,,,,concentrate,very poor,10000 cm2 (area),,,,,,,
col:84444,Nemegt,100.477776,43.572224,Gurilyn Tsav [RMPE],"Gooreeliyn-Tsav, Gurilin Tsav, Gurlin Tsav, Gooriliyn-Tsav",2,Maastrichtian,72.2,66,Kurochkin,1999,ref:51336,MN,,__,outcrop,"""15 km north of the Altan Ula ridge and 7 km east of Bugeen Tsav; north west corner of Umnogobi Aimak, Mongolia"" (coordinate based on Altan Ula localities)",gplates,628,mid,93.8,36.47,bed,"in ""the lower portions of the Nemegt Horizon""",,not reported,,,terrestrial indet.,,macrofossils,body,,,taxonomic,"surface (in situ),field collection",some genera,RMPE,"1987, 1994",vertebrate,,,,,PIN,,,,,,,,,,,,,,,,,,,"list incomplete: fossils ""include a variety of theropods and hadrosaurian dinosaurs, as well as varanid lizards, turtles, fish, and the large enantiornithine bird Gurilynia""",,,,,,,,,,,
col:88554,Nemegt,101.275002,43.491669,"Therizinosaurus type, Nemegt (PROXY)",,1,Maastrichtian,72.2,66,Maleev,1954,ref:13917,MN,Omnogov,__,outcrop,"""Nemegt Valley"" - Gradzinski et al. 1977 lists the species as coming from Altan Ula and northern Nemegt",gplates,628,mid,94.52,36.55,bed,,,not reported,,,terrestrial indet.,,macrofossils,body,medium,incomplete skeleton with an almost complete skull,taxonomic,survey of museum collection,,SMPE,1948,vertebrate,,,,occasional,,,,,,,,,,,,,,,,Mongolian Paleontological Expedition of the USSR Academy of Sciences,,,,,,,,,,,,,,,
col:100266,Nemegt,100.01667,43.866669,Bugin Tsav tracksite [HMNS-GIN],,6,Maastrichtian,72.2,66,Suzuki and Watabe,2000,ref:42293,MN,Omnogov,__,outcrop,Bugin Tsav,gplates,628,mid,93.3,36.66,bed,,"""preserved in the mudstone layers, as natural casts made of fine- to medium-grained sandstone""",sandstone,"fine,medium",Y,crevasse splay,"""overbank area of a meandering river…a crevasse splay""",macrofossils,"cast,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,HMNS-GIN,1998,vertebrate,,,,,,,autochthonous,snapshot,mudstone,,,life position,,,,Y,,,,,,footprints,,,,,,,,,,,,,
col:100268,Nemegt,99.98333,43.816666,Bugin Tsav II tracksite [HMNS-GIN],,4,Maastrichtian,72.2,66,Watabe et al.,2010,ref:55060,MN,Omnogov,__,outcrop,Bugin Tsav,gplates,628,mid,93.29,36.61,bed,,,sandstone,,Y,fluvial-lacustrine indet.,,macrofossils,"cast,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,HMNS-GIN,2006,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:100270,Nemegt,100.5,43.599998,Altan Ula III tracksite [HMNS-GIN],,1,Maastrichtian,72.2,66,Watabe and Suzuki,2000,ref:53759,MN,Omnogov,__,outcrop,"Altan Ula III, Nemegt Basin",gplates,628,mid,93.81,36.5,bed,,,not reported,,,fluvial-lacustrine indet.,,macrofossils,trace,,,general faunal/floral,"surface (in situ),observed (not collected)",,HMNS-GIN,1997,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:100272,Nemegt,100.449997,43.599998,Altan Ula IV tracksite [HMNS-GIN],,1,Maastrichtian,72.2,66,Watabe and Suzuki,2000,ref:53759,MN,Omnogov,__,outcrop,"Altan Ula IV, Nemegt Basin",gplates,628,mid,93.76,36.49,bed,,,not reported,,,fluvial-lacustrine indet.,,macrofossils,trace,,,general faunal/floral,"surface (in situ),observed (not collected)",,HMNS-GIN,1997,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:100273,Nemegt,100.133331,43.866669,Gurilin Tsav tracksite [HMNS-GIN],"Gurlin Tsav, Guriliin Tsav",3,Maastrichtian,72.2,66,Suzuki and Watabe,2000,ref:42293,MN,Omnogov,__,outcrop,"Gurilin Tsav, Nemegt Basin",gplates,628,mid,93.4,36.68,group of beds,> 5 horizons with footprints,"""alternation of sandstone and mudstone layers. Thick sandstone layers are developed in the upper part of geologic section of this locality. Those layers might be partly of eolian origin. In the beds paleosol (calcareous concretions) are frequently developed. The paleocurrent direction observed in the trough-cross-stratification in sandstone layers shows south, southwest, and west. Strike of wave ripple mark on hard gray fine-grained sandstone layer with dinosaur footprints is 155 (or 335) degree.""",sandstone,"wave ripples,fine,gray",Y,fluvial-lacustrine indet.,,macrofossils,"cast,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,HMNS-GIN,"1998, 2006",vertebrate,,,,,,,autochthonous,,mudstone,,,life position,,,,Y,,,lithified,,,footprints,,,,,,,,,,,,,
col:100274,Nemegt,100.449997,43.849998,Ulan Khushu tracksite [HMNS-GIN],,1,Maastrichtian,72.2,66,Ishigaki et al.,2009,ref:34415,MN,Omnogov,__,outcrop,"Ulan Khushu, Nemegt Basin",gplates,628,mid,93.68,36.73,bed,,,not reported,,,fluvial-lacustrine indet.,,macrofossils,trace,,,general faunal/floral,"surface (in situ),observed (not collected)",,HMNS-GIN,,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:100275,Nemegt,99.833336,43.466667,Khermeen Tsav I tracksite [HMNS-GIN],"Khermin Tsav, Hermiin Tsav",4,Maastrichtian,72.2,66,Watabe and Suzuki,2000,ref:53759,MN,Omnogov,__,outcrop,"Khermeen Tsav, Nemegt Basin",gplates,628,mid,93.28,36.24,bed,,,not reported,,,fluvial-lacustrine indet.,,macrofossils,trace,,,general faunal/floral,"surface (in situ),observed (not collected)",,HMNS-GIN,1997,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:108341,Nemegt,107.76667,43.59111,Shar Tsav West [HMNS-GIN],,1,Maastrichtian,72.2,66,Watabe and Suzuki,2000,ref:53760,MN,Omnogov,__,outcrop,"N: 43-34-28.45; E: 107-46-42.31; A: 896m
Shar Tsav (western area, mudstone dominant)",gplates,628,mid,100.15,37.98,bed,,"Avimimus skeleton found in mudstone layer (1996, 2001 [femur]); ""Avimimus were found from mudstone layers of the lower and middle parts of the section in this area. In the thick sandstone layers in middle to upper parts of the section, large-scaled convolution disturbance is observed. Ripple marks on the top surface of the hard sandstone layers show NE-SW trend (32.4 + 180 degree, N = 11). Paleocurrent direction based on trough cross-stratification in the hard sandstone layers indicates southwest, west, northwest, and north.""",sandstone,current ripples,,fluvial indet.,,macrofossils,body,excellent,,general faunal/floral,"surface (in situ),mechanical,field collection",,HMNS-GIN,"1996, 2001",vertebrate,896,meters,,,,many,,,mudstone,,,,,,,Y,,,lithified,,,,,,,,,,,,,,,,
col:108344,Nemegt,102.669724,44.071945,Yagaan Khovil [HMNS-GIN],,15,Maastrichtian,72.2,66,Suzuki and Watabe,2000,ref:42293,MN,Omnogov,__,outcrop,N: 44-04-1940; E: 102-40-1091; A: 1286m,gplates,628,mid,95.53,37.38,group of beds,questionable formation assignment. Lower part of section,"""alternation of pale red fine sandstone and red mudstone""",mudstone,,Y,fluvial indet.,,"macrofossils,mesofossils",body,good,,general faunal/floral,"selective quarrying,surface (float),surface (in situ),mechanical,field collection",some macrofossils,HMNS-GIN,"1998, 2000, 2007",vertebrate,1286,,some,frequent,,,,,sandstone,,,,,,,Y,,,,,"fine,red","postcrania,eggs",,"JMJPE visited this locality in 1998, and discovered fragments of turtle skeletons, large sacral vertebrae, bivalves and eggshells. Many dinosaur footprints (those of a hadrosaur) were also found.",,,,,,,,,,,
col:113009,Nemegt,100.386108,43.469444,Tsagan Hushu [IGM],"Tsagaan Khushuu, Khushu, Tsagan Uul, Tsagan Ula",1,Maastrichtian,72.2,66,Brusatte et al.,2009,ref:36719,MN,Omnogov,__,small collection,"Tsagan Ula (= Hushu/Ushu/Khusku), Omnogov",gplates,628,mid,93.75,36.35,bed,,,not reported,,,terrestrial indet.,,macrofossils,"body,soft parts",excellent,,taxonomic,"selective quarrying,mechanical,survey of museum collection",,,2001,vertebrate,,,many,,,,,snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:123406,Nemegt,94.150002,46.816666,Ulaan Bulag (PIN),,1,Maastrichtian,72.2,66,Efimov,1983,ref:82935,MN,Omnogov,__,outcrop,,gplates,401,mid,87.3,38.4,bed,,,not reported,,,terrestrial indet.,,macrofossils,body,,,general faunal/floral,,,,,vertebrate,,,,,PIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col:123830,Nemegt,99.0,43.0,Ingeni Khobur 2,"Soviet-Mongolian Paleontological Expedition, Ingenii-Khobur 2",1,Maastrichtian,72.2,66,Danilov,2003,ref:39832,MN,Bayankhongor,__,small collection,,gplates,628,mid,92.71,35.63,bed,,,not reported,,,terrestrial indet.,,macrofossils,body,,,taxonomic,survey of museum collection,,R. Barsbold,1968,vertebrate,,,,occasional,,,parautochthonous,,,,dispersed,,,,,,,,,,,,,,,,,,,,,,,,
col:126778,Nemegt,101.071404,43.483818,Nemegt Footprint Site 8,,0,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"southern end of Central Sayr, Nemegt; 2.5 km SE of expedition camp",gplates,628,mid,94.34,36.5,bed,,,mudstone,,Y,terrestrial indet.,,macrofossils,"mold/impression,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,Nemegt-2001,7,m,bottom to top,,,
col:126779,Nemegt,101.072075,43.507786,Nemegt Footprint Site 4,,0,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,NE part of Nemegt; 2.2 km NE of expedition camp,gplates,628,mid,94.34,36.52,bed,,,mudstone,,Y,terrestrial indet.,,macrofossils,"mold/impression,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,Nemegt-2001,7,m,bottom to top,,,
col:126780,Nemegt,101.050934,43.495663,Nemegt Footprint Site 14,,2,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"Central Sayr, Nemegt",gplates,628,mid,94.32,36.51,group of beds,"bones from layer directly above, and filling, footprints",,siltstone,,Y,terrestrial indet.,,macrofossils,"body,cast,mold/impression,trace",,,general faunal/floral,"selective quarrying,surface (float),surface (in situ),field collection,observed (not collected)",,,2001-2002,vertebrate,,,some,,,,autochthonous,snapshot,sandstone,,,life position,,,,Y,,,,,,footprints,,,,,,,Nemegt-2001,19,m,bottom to top,,,
col:126781,Nemegt,101.050934,43.495663,Nemegt Footprint Site 17,,0,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"Central Sayr, Nemegt",gplates,628,mid,94.32,36.51,bed,,,siltstone,,Y,terrestrial indet.,,macrofossils,"mold/impression,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,Nemegt-2001,19,m,bottom to top,,,
col:126782,Nemegt,101.050934,43.495663,Nemegt Footprint Site 3,,0,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"Central Sayr, Nemegt, 1.8 km SE of expedition camp",gplates,628,mid,94.32,36.51,bed,,,siltstone,,Y,terrestrial indet.,,macrofossils,"mold/impression,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,Nemegt-2001,19,m,bottom to top,,,
col:126783,Nemegt,101.050934,43.495663,Nemegt Footprint Site 18,,2,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"Central Sayr, Nemegt; near expedition camp but level extends for more than 100 m on both sides of a narrow ridge and on W side of a narrow gulley",gplates,628,mid,94.32,36.51,bed,,,siltstone,,Y,terrestrial indet.,,macrofossils,"cast,mold/impression,trace",,,general faunal/floral,"selective quarrying,surface (in situ),field collection,observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,Nemegt-2001,25,m,bottom to top,,,
col:126784,Nemegt,101.064651,43.487587,Nemegt Footprint Site 9,,0,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"southern end of Central Sayr, Nemegt",gplates,628,mid,94.34,36.5,bed,,,not reported,,,terrestrial indet.,,macrofossils,"mold/impression,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:126785,Nemegt,101.063957,43.49044,Nemegt Footprint Site 6,,1,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"southern end of Central Sayr, Nemegt",gplates,628,mid,94.33,36.5,bed,,,sandstone,,Y,terrestrial indet.,,macrofossils,"cast,mold/impression,trace,soft parts",medium,,general faunal/floral,"surface (in situ),observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:126786,Nemegt,101.061981,43.492191,Nemegt Footprint Site 5,,2,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"southern end of Central Sayr, Nemegt",gplates,628,mid,94.33,36.51,bed,,,not reported,,,terrestrial indet.,,macrofossils,"mold/impression,trace",,,general faunal/floral,"selective quarrying,surface (float),surface (in situ),field collection,observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:126787,Nemegt,101.049232,43.497437,Nemegt Footprint Site 19,,1,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"Central Sayr, Nemegt",gplates,628,mid,94.32,36.51,bed,,,siltstone,,Y,terrestrial indet.,,macrofossils,"mold/impression,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:126788,Nemegt,101.051117,43.497108,Nemegt Footprint Site 16,,1,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"Central Sayr, Nemegt",gplates,628,mid,94.32,36.51,bed,,,siltstone,,Y,terrestrial indet.,,macrofossils,"mold/impression,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:126789,Nemegt,101.051117,43.497108,Nemegt Footprint Site 15,,1,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"Central Sayr, Nemegt",gplates,628,mid,94.32,36.51,bed,,,not reported,,,terrestrial indet.,,macrofossils,"mold/impression,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:126790,Nemegt,101.051117,43.497108,Nemegt Footprint Site 13,,1,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"Central Sayr, Nemegt",gplates,628,mid,94.32,36.51,bed,,,not reported,,,terrestrial indet.,,macrofossils,"mold/impression,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:126791,Nemegt,101.051117,43.497108,Nemegt Footprint Site 10,,1,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"Central Sayr, Nemegt",gplates,628,mid,94.32,36.51,bed,,,not reported,,,terrestrial indet.,,macrofossils,"mold/impression,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:126792,Nemegt,101.063957,43.49044,Nemegt Footprint Site 2,,1,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"southern end of Central Sayr, Nemegt",gplates,628,mid,94.33,36.5,bed,,,mudstone,,Y,terrestrial indet.,,macrofossils,"mold/impression,trace",medium,,general faunal/floral,"surface (in situ),field collection",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:126793,Nemegt,101.063957,43.49044,Nemegt Footprint Site 1,,0,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"southern end of Central Sayr, Nemegt",gplates,628,mid,94.33,36.5,bed,,,mudstone,,Y,terrestrial indet.,,macrofossils,"mold/impression,trace",medium,,general faunal/floral,"surface (in situ),field collection",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:126794,Nemegt,101.063957,43.49044,Nemegt Footprint Site 7,,0,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"southern end of Central Sayr, Nemegt",gplates,628,mid,94.33,36.5,bed,,,mudstone,,Y,terrestrial indet.,,macrofossils,"mold/impression,trace",medium,,general faunal/floral,"surface (in situ),field collection",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:126795,Nemegt,101.051117,43.497108,Nemegt Footprint Site 11,,0,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"Central Sayr, Nemegt",gplates,628,mid,94.32,36.51,bed,,,not reported,,,terrestrial indet.,,macrofossils,"mold/impression,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:126796,Nemegt,101.051117,43.497108,Nemegt Footprint Site 12,,0,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,outcrop,"Central Sayr, Nemegt",gplates,628,mid,94.32,36.51,bed,,,not reported,,,terrestrial indet.,,macrofossils,"mold/impression,trace",,,general faunal/floral,"surface (in situ),observed (not collected)",,,2001-2002,vertebrate,,,,,,,autochthonous,snapshot,,,,life position,,,,,,,,,,footprints,,,,,,,,,,,,,
col:126797,Nemegt,100.010002,43.869446,Bugin Tsav Tarbosaurus,Bugiin Tsav,1,Maastrichtian,72.2,66,Currie et al.,2003,ref:29188,MN,Omnogov,__,small collection,,gplates,628,mid,93.29,36.66,bed,,,not reported,,,terrestrial indet.,,macrofossils,"body,soft parts",,,taphonomic,"salvage,surface (in situ),field collection",,,2001,vertebrate,,,,,,,parautochthonous,snapshot,,,,,,,,,,,,original specimen destroyed by poachers,,,,,,,,,,,,,,,
col:127670,Nemegt,100.140282,43.852501,Gurilin Tsav [HMNS-GIN],"Gurlin Tsav, Guriliin Tsav",18,Maastrichtian,72.2,66,Watabe and Suzuki,2000,ref:42289,MN,Omnogov,__,outcrop,"N: 43-51-0914; E: 100-08-2508; A: 1033m
Gurilin Tsav, Nemegt Basin. Eggs found in SE area of the locality, at the end of the ""peninsula-like cliff""",gplates,628,mid,93.41,36.67,bed,,"some fossils in ""the bluish white fine sandstone layers, overlying the red mudstone.""""Alternation of sandstone and mudstone layers is its dominant lithology. The paleosol horizons are very frequently observed in the beds.""",sandstone,"current ripples,fine,white,blue",Y,fluvial indet.,,macrofossils,body,,gastroliths found within abdominal area of Tarbosaurus skeleton.,general faunal/floral,"surface (in situ),mechanical,field collection",,HMNS-GIN,"1993–1995, 1998",vertebrate,1033,,,,,,parautochthonous,,mudstone,,,,,,,,,,,HMNS-Hayashibara Museum of Natural Sciences,"paleosol/pedogenic,red","partial skeletons,footprints,eggs",,,,,,,,,,,,,
col:127671,Nemegt,100.503891,43.598057,Altan Ula II [HMNS-GIN],,10,Maastrichtian,72.2,66,Ariunchimeg,1997,ref:76473,MN,Omnogov,__,outcrop,N: 43-35-53.2; E: 100-30-14.3; A: 1573 m,gplates,628,mid,93.81,36.5,group of beds,"mostly from ""upper part"" of the section","""The fossiliferous beds are alternation of sandstone and mudstone layers with fluvial origin""",sandstone,,Y,fluvial indet.,,"macrofossils,mesofossils",body,good,,general faunal/floral,"surface (float),surface (in situ),field collection,observed (not collected)",,HMNS-GIN,"1993, 1997, 2006",vertebrate,1573,meters,some,frequent,PIN,,,,mudstone,,,,,,,Y,,,,HMNS-Hayashibara Museum of Natural Sciences,,"skulls,eggs",,,,,,,,,,,skeletons,,
col:127673,Nemegt,100.5,43.600834,Altan Ula III [HMNS-GIN],,7,Maastrichtian,72.2,66,Watabe and Suzuki,2000,ref:42289,MN,Omnogov,__,small collection,N: 43-36-03.47; E: 100-29-59.81; A: 1607m,gplates,628,mid,93.81,36.5,bed,,"""gray blue silt-fine-grained sandstone beds""; ""alternation of sandstone and mudstone layers, with intercalations of conglomerate layers (grain size is granule).""",sandstone,"fine,gray,blue",Y,fluvial indet.,,macrofossils,body,,,general faunal/floral,"surface (float),surface (in situ),field collection",,HMNS-GIN,"1993, 1997, 2006",vertebrate,1607,meters,,,,,,,mudstone,,,,,,silty,,,,,HMNS-Hayashibara Museum of Natural Sciences,,"partial skeletons,eggs",,,,,,,,,,,,few,
col:127674,Nemegt,100.457779,43.597221,Altan Ula IV [HMNS-GIN],,15,Maastrichtian,72.2,66,Watabe and Suzuki,2000,ref:42289,MN,Omnogov,__,outcrop,N: 43-35-50.04; E: 100-27-28.03; A: 1555 m,gplates,628,mid,93.77,36.49,bed,,"""The beds with rich vertebrate fossils are alternation of sandstone and mudstone layers with fluvial origin.""",sandstone,,Y,fluvial indet.,,"macrofossils,mesofossils",body,,,general faunal/floral,"surface (float),surface (in situ),mechanical,field collection",,HMNS-GIN,"1993, 1997, 2006-2007",vertebrate,1555,meters,,frequent,,,,,mudstone,,,,,,,,,Upper,,HMNS-Hayashibara Museum of Natural Sciences,,,,Dinosaur eggshells were also collected. Dinosaur footprints were found.,,,,,,,,,,,
col:127675,Nemegt,101.050003,43.501667,"Nemegt, Northern Sayr [HMNS-GIN] — Nemegt Fm.",,7,Maastrichtian,72.2,66,Watabe and Suzuki,2000,ref:42154,MN,Omnogov,__,small collection,N: 43-30-0581; E: 101-02-5971; A: 1521m. Northern Sayr area of Nemegt,gplates,628,mid,94.32,36.51,,,,sandstone,,,fluvial indet.,,macrofossils,body,,incomplete skeleton with an almost complete skull,taxonomic,"surface (float),surface (in situ),field collection",,HMNS-GIN,"1993, 1994",vertebrate,1521,meters,,,,,,,,,,,,,,Y,,,,HMNS-Hayashibara Museum of Natural Sciences,,"partial skeletons,eggs",,,,,,,,,,,,,
col:127679,Nemegt,99.976669,43.816387,Bugin Tsav II [HMNS-GIN],southern outcrops of Bugin Tsav,14,Maastrichtian,72.2,66,Watabe and Suzuki,2000,ref:42289,MN,Omnogov,__,outcrop,Bugin Tsav-II; N: 43-48-5877; E: 99-58-3569; A: 862m. Southern outcrops of Bugin Tsav.,gplates,628,mid,93.28,36.6,bed,,,sandstone,current ripples,Y,fluvial indet.,,macrofossils,body,good,,general faunal/floral,"selective quarrying,surface (in situ),mechanical,field collection",,HMNS-GIN,"1993-1994, 1998, 2006",vertebrate,862,meters,some,,,,,,,,,,,,,,,,,HMNS-Hayashibara Museum of Natural Sciences,,skeletons,,,,,,,,,,,,,
col:127681,Nemegt,100.359718,43.482777,Tsagan Khushu [HMNS-GIN],"Tsagan Khusku, Tsagan Usu, Tsagan Hushu",18,Maastrichtian,72.2,66,Watabe and Suzuki,2000,ref:42289,MN,Omnogov,__,outcrop,N: 43-28-5811; E: 100-21-3479; A: 1334m. Mostly the northern area of the Tsagan Khushu badlands.,gplates,628,mid,93.73,36.36,formation,,"""The bituminous sandstone with fine horizontal lamination was found in the part of alternation of mudstone and sandstone""; ""The fossiliferous beds of this area are alternation of sandstone and mudstone layers with fluvial origin. Those beds are horizontally situated. Dinosaur bones and associated skeletons are included in those layers. There is a finely stratified mudstone lens with high contents of carbon material that yield pollen and spore.""",sandstone,"planar lamination,fine",Y,fluvial indet.,,"macrofossils,mesofossils,microfossils",body,,,general faunal/floral,"bulk,surface (float),surface (in situ),field collection","some genera,some microfossils",HMNS-GIN,"1993, 1997, 2006",vertebrate,1334,meters,,,,,,,mudstone,,,,,,carbonaceous,,,,,HMNS-Hayashibara Museum of Natural Sciences,,"partial skeletons,partial skulls,eggs,wood",,"JMJPE researched here in 1993 and 1997, and collected one partial skull of a pachycephalosaur, fragments of skull elements of Tarbosaurus, petrified wood, and several forms of dinosaur eggshells. ""Pollen and spore fossils"" found as well.",,,,,,,,,,,
